text,year,month,day,hour,minute,week_num,num_of_day,num_of_week
 @jirolian  銀杏仄かに薫る仙台店前 ざっと40人の並び 12:15 ,2017,10,28,12,16,6,301,43
 @jirolian 1353 仙台 交差点あたりまで 並んでます ,2017,10,27,13,53,5,300,43
 ラーメン二郎 仙台店 只今の並びは青い髪のあの方も含め約50人！12:17 @jirolian pic.twitter.com/fI2xq7lJSF ,2017,10,27,12,17,5,300,43
 ラーメン二郎仙台店 晴 45人位 11:43  @jirolian ,2017,10,27,11,43,5,300,43
 @jirolian ラーメン二郎 仙台店  不動産屋入口まで  １８：３３ ,2017,10,26,18,33,4,299,43
 @jirolian 仙台店 1250 外側37 ,2017,10,24,12,53,2,297,43
 @jirolian 仙台 1111 20人待ち 快晴 ,2017,10,24,11,11,2,297,43
 @jirolian 仙台店 19:30　駐車場超えも傘をさしてるため列はゆったり 約20人 定刻まで営業してます ,2017,10,22,19,32,0,295,43
 @jirolian 仙台 開店待ち4 1045 ,2017,10,22,10,44,0,295,43
 @jirolian 仙台店、18:38現在、40人くらい。店長います。団体客多いです。 ,2017,10,21,18,38,6,294,42
 @jirolian 仙台 1112 雨の中8人待ち ,2017,10,20,11,12,5,293,42
 @jirolian ラーメン二郎 仙台店 横断歩道まで えらく混んでます １８：５０ ,2017,10,18,18,50,3,291,42
 ラーメン二郎仙台店 曇 並び12人 11:12  @jirolian ,2017,10,18,11,12,3,291,42
 @jirolian 1910 仙台 50人 ,2017,10,17,19,20,2,290,42
 @jirolian 1312 仙台 15人ほどです ,2017,10,17,13,13,2,290,42
 ラーメン二郎 仙台店 只今の並びは65人！日曜日の仙台店は19時30分までの営業です。ご来店予定の方はお早めにお願いします。17:47   @jirolian pic.twitter.com/ZzfRmhhIUt ,2017,10,15,17,47,0,288,42
 @jirolian ラーメン二郎仙台店 現在 不動産屋入口まで  １９：０７ ,2017,10,14,19,7,6,287,41
" @jirolian 開店前並び30人超 (@ ラーメン二郎 仙台店 - @jiro_sendai1023 in 仙台市, 宮城県) https://www.swarmapp.com/c/9pa2BA7KRv6 pic.twitter.com/nXWujknLs7 ",2017,10,14,11,26,6,287,41
 ラーメン二郎仙台店 曇 並び35人 11:48  @jirolian ,2017,10,13,11,48,5,286,41
 @jirolian ラーメン二郎仙台店 現在マンション入口 まで１８：３０ ,2017,10,12,18,30,4,285,41
 @jirolian 仙台店1946小雨模様不動産屋越えてます pic.twitter.com/PdC3nqTnWR ,2017,10,11,19,48,3,284,41
 仙台二郎どんな感じですか？ ,2017,10,10,13,29,2,283,41
 ラーメン二郎 仙台店 只今の並びは52人！日曜日の仙台店は19時30分までの営業です。ご来店予定の方はお早めにお願いします。18:39  @jirolian pic.twitter.com/pRtMAVyvTc ,2017,10,8,18,39,0,281,41
 @jirolian 仙台店 並び信号手前まで 11:22 ,2017,10,7,11,22,6,280,40
 ラーメン二郎仙台店 雨 並び23人 11:07  @jirolian ,2017,10,7,11,7,6,280,40
 @jirolian  肌寒いと何故か空いてる仙台店 ,2017,10,6,15,6,5,279,40
 @jirolian 仙台二郎 13:45 奇跡の待ち無し ,2017,10,6,13,46,5,279,40
 @jirolian 仙台店13:42並び5人 仙台店は平日昼ピーク過ぎは狙い目ですね pic.twitter.com/EWZM6gbLCS ,2017,10,6,13,43,5,279,40
 @jirolian 13時19分 ラーメン二郎仙台店 並び9人です。 pic.twitter.com/MDskwFWkNU ,2017,10,6,13,19,5,279,40
 ラーメン二郎 仙台店 只今の並びは8人！今日は並び少ないです。12:50  @jirolian pic.twitter.com/KsPp4q7RI7 ,2017,10,5,12,50,4,278,40
 @jirolian 仙台店、18:47時点で12人。プラス鍋の人。 ,2017,10,3,18,47,2,276,40
 ラーメン二郎仙台店 曇 並び2人 13:58  @jirolian ,2017,10,3,13,58,2,276,40
 @jirolian 仙台 開店前15人程(11:05) ,2017,10,3,11,5,2,276,40
 @jirolian 仙台店 1851 外待ち57名 明日、マラソン大会があり、全国からの集団との事です ,2017,9,30,18,51,6,273,39
 @jirolian 仙台店  1830 外待ち100名以上o(^_^)o pic.twitter.com/un3NUi2lAf ,2017,9,30,18,33,6,273,39
 @jirolian 仙台　外40人　1337 ,2017,9,30,13,37,6,273,39
 @jirolian 仙台点1100約20人 ,2017,9,30,10,59,6,273,39
 ラーメン二郎仙台店 晴 並び26人 12:49  @jirolian ,2017,9,29,12,49,5,272,39
 @jirolian 仙台店 ただいま待ちなし 天候小雨 つけ麺は終了 ,2017,9,28,13,26,4,271,39
 ラーメン二郎 仙台店 只今の並びはヅラの大先輩 黒糖さん含め約20人！18:07  @jirolian pic.twitter.com/YLfyRvSVCL ,2017,9,27,18,7,3,270,39
 ラーメン二郎 仙台店 只今の並びは35人！12:41 @jirolian pic.twitter.com/zTMN5WRcOl ,2017,9,24,12,41,0,267,39
 ラーメン二郎仙台 晴時々曇 並び4人 11:03  @jirolian ,2017,9,22,11,3,5,265,38
