day,temp_h,temp_l,prec,weat_d,weat_n
2012/1/1,6,-2.3,0,晴時々曇,晴
2012/1/2,10.4,-0.7,0,晴一時曇,晴一時雪
2012/1/3,6.4,-1.2,0,晴,曇時々晴
2012/1/4,4.3,-2.7,0,曇時々雪一時晴,晴時々雪
2012/1/5,3.2,-1.5,0,晴時々雪,晴
2012/1/6,4.1,-0.8,0,曇一時晴,曇時々晴
2012/1/7,5.3,-2.8,0,晴,晴時々雪
2012/1/8,4.9,-0.8,0,晴,曇
2012/1/9,5.6,-2.8,0,曇後晴,晴一時曇
2012/1/10,5.5,-0.8,0,晴,曇後雪
2012/1/11,2.4,-3.7,2.5,雪時々晴,曇時々晴
2012/1/12,1.7,-3.8,0,晴一時雪,晴後一時雪
2012/1/13,2.8,-3.5,0,雪後時々晴,晴
2012/1/14,2.2,-2.5,0,晴,晴一時雪
2012/1/15,3.8,-2.2,0,晴,晴後一時薄曇
2012/1/16,3,-3,0,曇一時晴,曇
2012/1/17,4.8,-2,0,曇時々雪後晴,晴
2012/1/18,8.4,-2.7,0,晴,晴一時曇
2012/1/19,6.6,-0.8,0,晴後薄曇,曇
2012/1/20,4.3,0.9,0,曇,曇時々雪
2012/1/21,2.6,-0.7,8,雪時々みぞれ一時雨,雪一時みぞれ
2012/1/22,5,0.4,11,雨一時みぞれ後曇,晴一時曇
2012/1/23,6.2,-0.5,0,曇時々晴,晴一時曇
2012/1/24,3.4,-2.7,0,晴,曇時々晴一時雪
2012/1/25,1.6,-4,0,晴一時曇,晴一時曇
2012/1/26,1.1,-4.7,0,晴後雪,雪
2012/1/27,-1.5,-3.4,1,雪,雪
2012/1/28,0.5,-6.6,0,晴,快晴
2012/1/29,1.4,-7,0,晴一時曇,晴
2012/1/30,2.8,-6,0,晴,晴後一時雪
2012/1/31,0.3,-4.7,0,雪,晴一時雪
2012/2/1,5.9,-5.5,0,雪時々曇後晴,晴後時々雪
2012/2/2,0,-3.5,4.5,雪後時々曇,晴
2012/2/3,1.9,-7.4,0,晴,曇一時晴
2012/2/4,4.5,-4.5,2,雪一時晴,雪後晴
2012/2/5,4.1,-4,0,晴後曇,晴
2012/2/6,6.7,-3.4,1,薄曇後一時雨,雨
2012/2/7,6.7,2.3,7.5,雨後曇,曇一時雨
2012/2/8,3.5,-3.1,0,晴一時雪,曇後時々雪
2012/2/9,1,-3.2,0,晴時々雪,晴時々雪一時曇
2012/2/10,2.4,-4.8,0,曇時々雪,曇時々晴一時雪
2012/2/11,2.1,-5.6,0,晴,晴一時曇
2012/2/12,1.5,-4.6,0,雪後時々晴,晴、大風を伴う
2012/2/13,5.7,-2.3,0,曇時々晴,曇
2012/2/14,7.3,-0.4,0,曇一時晴,晴
2012/2/15,6.4,-1.5,0,曇時々晴,晴後一時曇
2012/2/16,3.3,-2.7,0,曇一時雪後晴,晴後曇一時雪
2012/2/17,3.1,-4.9,0.5,晴一時雪,晴
2012/2/18,2,-4.9,0,晴,曇
2012/2/19,3.3,-4.7,0,晴一時曇,快晴
2012/2/20,5.9,-4.2,0,晴,晴
2012/2/21,8.6,-1.5,0,晴,晴
2012/2/22,5.9,-2.5,0,晴,曇後一時みぞれ
2012/2/23,8.2,0.2,13,雨一時みぞれ後曇,晴
