text,year,month,day,hour,minute,second,week_name,week_num,num_of_day,num_of_week
    銀杏仄かに薫る 仙台 店前 ざっと40人の並び 12:15,2017,10,28,12,16,39,Sat,6,301,43
   1353  仙台  交差点あたりまで 並んでます,2017,10,27,13,53,55,Fri,5,300,43
"ラーメン二郎  仙台 店 只今の並びは青い髪のあの方も含め約50人！12:17      <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/fI2xq7lJSF"">pic.twitter.com/fI2xq7lJSF",2017,10,27,12,17,28,Fri,5,300,43
ラーメン二郎 仙台 店 晴 45人位 11:43    ,2017,10,27,11,43,13,Fri,5,300,43
   ラーメン二郎  仙台 店  不動産屋入口まで  １８：３３,2017,10,26,18,33,49,Thu,4,299,43
    仙台 店 1250 外側37,2017,10,24,12,53,43,Tue,2,297,43
    仙台  1111 20人待ち 快晴,2017,10,24,11,11,55,Tue,2,297,43
    仙台 店 19:30\u3000駐車場超えも傘をさしてるため列はゆったり 約20人 定刻まで営業してます,2017,10,22,19,32,18,Sun,0,295,43
    仙台  開店待ち4 1045,2017,10,22,10,44,55,Sun,0,295,43
    仙台 店、18:38現在、40人くらい。店長います。団体客多いです。,2017,10,21,18,38,43,Sat,6,294,42
    仙台  1112 雨の中8人待ち,2017,10,20,11,12,22,Fri,5,293,42
   ラーメン二郎  仙台 店 横断歩道まで えらく混んでます １８：５０,2017,10,18,18,50,25,Wed,3,291,42
ラーメン二郎 仙台 店 曇 並び12人 11:12    ,2017,10,18,11,12,14,Wed,3,291,42
   1910  仙台  50人,2017,10,17,19,20,48,Tue,2,290,42
   1312  仙台  15人ほどです,2017,10,17,13,13,20,Tue,2,290,42
"ラーメン二郎  仙台 店 只今の並びは65人！日曜日の 仙台 店は19時30分までの営業です。ご来店予定の方はお早めにお願いします。17:47        <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/ZzfRmhhIUt"">pic.twitter.com/ZzfRmhhIUt",2017,10,15,17,47,30,Sun,0,288,42
   ラーメン二郎 仙台 店 現在 不動産屋入口まで  １９：０７,2017,10,14,19,7,19,Sat,6,287,41
"   開店前並び30人超 (@ ラーメン二郎  仙台 店 -  <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""769432851443879936"" dir=""ltr"" href=""https://twitter.com/jiro_sendai1023"">@jiro_sendai1023  in  仙台 市 宮城県)  <a class=""twitter-timeline-link"" data-expanded-url=""https://www.swarmapp.com/c/9pa2BA7KRv6"" dir=""ltr"" href=""https://t.co/fOzhvV6Kxf"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.swarmapp.com/c/9pa2BA7KRv6""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">swarmapp.com/c/9pa2BA7KRv6</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span> <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/nXWujknLs7"">pic.twitter.com/nXWujknLs7",2017,10,14,11,26,27,Sat,6,287,41
ラーメン二郎 仙台 店 曇 並び35人 11:48    ,2017,10,13,11,48,48,Fri,5,286,41
   ラーメン二郎 仙台 店 現在マンション入口 まで１８：３０,2017,10,12,18,30,59,Thu,4,285,41
"    仙台 店1946小雨模様不動産屋越えてます  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/PdC3nqTnWR"">pic.twitter.com/PdC3nqTnWR",2017,10,11,19,48,13,Wed,3,284,41
仙台 二郎どんな感じですか？,2017,10,10,13,29,13,Tue,2,283,41
"ラーメン二郎  仙台 店 只今の並びは52人！日曜日の 仙台 店は19時30分までの営業です。ご来店予定の方はお早めにお願いします。18:39       <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/pRtMAVyvTc"">pic.twitter.com/pRtMAVyvTc",2017,10,8,18,39,47,Sun,0,281,41
    仙台 店 並び信号手前まで 11:22,2017,10,7,11,22,47,Sat,6,280,40
ラーメン二郎 仙台 店 雨 並び23人 11:07    ,2017,10,7,11,7,25,Sat,6,280,40
    肌寒いと何故か空いてる 仙台 店,2017,10,6,15,6,36,Fri,5,279,40
    仙台 二郎 13:45 奇跡の待ち無し,2017,10,6,13,46,48,Fri,5,279,40
"    仙台 店13:42並び5人  仙台 店は平日昼ピーク過ぎは狙い目ですね  <a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/EWZM6gbLCS"">pic.twitter.com/EWZM6gbLCS",2017,10,6,13,43,27,Fri,5,279,40
